公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
大泽农生物科技,,立品经理销售经理水产动保销售工程师海外销售经理财务专员供应链专员外贸跟单专员新媒体运营人事行政管培生,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,广东湖南全国东南亚,2026届,2026-03-03,民企,,2026-03-03,农林/畜牧,招满为止,春招,,公告,,投递
交通运输部所属事业单位,,本次招聘共计 23 个单位，岗位众多，详见简章,"本科, 硕士, 博士",有笔试,/,/,北京,2026届 | 2025届 | 2024届,2026-03-04,事业单位,,2026-03-04,事业单位,2026/3/25,春招,,公告,,投递
新北洋,,"大模型算法工程师,数据挖掘算法工程师,电气工程师,PLC开发工程师,电气工艺工程师,嵌入式开发工程师,CAE仿真工程师,机械（钣金）工艺工程师,制冷工程师,涂装工艺工程师,PE工程师,业务经理（国内/......","本科, 硕士, 博士",无笔试(有评测),/,/,威海 | 海外,2026届,2026-03-05,民企,,2026-03-05,其他,招满为止,春招,,公告,,投递
诺力昂,,生产工艺方向设备维护方向诺力昂天津创新中心招聘计划,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,天津浙江宁波 山东博兴浙江宁波,2026届,2026-03-07,外企,,2026-03-07,石油石化/化学化工,招满为止,春招,,公告,,投递
盛邦安全-营销专场,,营销管培生,"本科, 硕士, 博士",有笔试,/,/,北京,2026届,2026-03-16,民企,,2026-03-16,互联网/人工智能,招满为止,春招,,https://mp.weixin.qq.com/s/L9o0QEkOrxJvUhYT3WztZg,,https://webray.zhiye.com/campus/jobs
厦门麻生环球科技有限公司,,"直播运营专员,海外商务专员,单证物流专员,TIKTOK场控","本科, 硕士, 博士",/,/,/,厦门,2026届,2026-01-31,民企,,,贸易/批发/零售,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35346,,投递邮箱: | yunxi@msmianzhi.com
鹿城农商银行,,管理培训生综合柜员客户经理,"本科, 硕士, 博士",有笔试,/,/,温州,2025届 | 2026届,2026-02-24,银行,,2026-02-24,银行/国有行,2026/3/6,春招,,公告,,投递
中华职业教育社所属事业单位,,编辑部编辑（专业技术十级及以下） 项目运营专员（专业技术十级及以下）（理论经济学、应用经济学、金融、国际商务、法学、社会学、数学、物理学、统计学类、电子信息、计算机科学与技术、教育学、中国语言文学、法......,"本科, 硕士, 博士",有笔试,/,/,北京,2024届 | 2025届 | 2026届,2026-03-04,事业单位,,2026-03-04,事业单位,2026/3/16,春招,,公告,,投递
特区建工集团,,"工程管理岗,工程技术岗,商务合约岗,安全管理岗,电气工程岗,建筑设计岗,党群行政岗,人力资源岗,审计法务岗,财务管理岗,投资规划岗,数字技术岗","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,深圳,2026届,2026-03-12,央国企,,2026-03-12,国企,2026/4/30,春招,,公告,,投递
博瑞迪生物,,"研发工程师,研发工程师-蛋白验证,AI蛋白研发工程师,实验员,种植专员,生信分析师,统计遗传分析师,产品应用顾问,RPA开发工程师,业务发展经理","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 石家庄 | 张家口 | 广州 | 三亚 | 全国,2026届,2026-03-19,民企,,2026-03-19,生物医药,招满为止,春招,,https://mp.weixin.qq.com/s/825grN-hDeQJzrJQ12At6w,,https://molbreeding.jobs.feishu.cn/096898/position/list?spread=PYN8RM4
宁夏交通建设股份有限公司,,工程技术岗(房建市政方向、公路桥梁方向、水利方向)技术研发岗,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2026届,2026-03-21,央国企,,2026-03-21,建筑地产/市政工程,招满为止,春招,,https://mp.weixin.qq.com/s/t7evNQTmvFJDPbKI5oRudQ?click_id=49&scene=1,,https://mp.weixin.qq.com/s/t7evNQTmvFJDPbKI5oRudQ?click_id=49&scene=1
9377游戏,,游戏策划)战斗/数值/系统策划(校招)、场景原画/角色原画(校招)、游戏U(校招)、spine 动作/特效(校招)、前端/客户端开发(校招)、视频设计(校招)、市场营销(校招)、IOS开发(校招)、后......,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,广州,2026届,2026-02-24,民企,,2026-02-24,互联网-游戏动画,招满为止,春招,,公告,,投递
海大集团,,"研发类 技术类 营销类 生产类 技术服务类 职能类（相关专业：农牧类、生化类、经管类、机械类等,部分岗位不限专业）","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,全国 | 海外,2026届 | 2025届 | 2024届,2026-03-10,民企,,2026-03-10,其他 | 科技 | 农林牧渔,招满为止,春招,,公告,,投递
中国能建黑龙江院,,电气工程类 新能源类 土木工程类 热能与动力工程类测绘工程类通信工程类程类暖通工程类机械工程类财务管理类法学类工程管理类计算机科学、软件工程类,"本科, 硕士, 博士",有笔试,/,/,哈尔滨,2026届,2026-03-14,央国企,,2026-03-14,建筑地产/市政工程,招满为止,春招,,https://mp.weixin.qq.com/s/5zOKIbTcIgu_uTFagSPpFg,,https://www.iguopin.com/company?id=10685386421019172
重庆康华会计师事务所(特殊普通合伙),,金融业务人员（助理15人）;审计业务助理;税务业务助理;整体资产评估业务助理;不动产评估业务助理,"本科, 硕士, 博士",/,审计学、金融服务与管理、大数据与会计、金融学、财务管理、会计学、证券实务、跨境电子商务、金融工程、资产评估与管理、资产评估、国际经济与贸易、大数据与审计、财税大数据应用、大数据与财务管理等相关专业;会计学、审计学、财务管理等经济相关专业;税务、会计学、审计学、财务管理等经济相关专业;会计学、审计学、财务管理、资产评估等经济相关专业;房地产估价、土地资源管理等相关专业,/,重庆,2026届,2026-01-03,民企,,,咨询,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34565,,投递邮箱： | 1229703284@qq.com
青海省青海湖生态保护基金会,,项目实习生,"本科, 硕士, 博士",/,社会学、社会工作、民族学、心理学、生物学、地理学、生态学、环境学等相关专业优先,/,西宁,2026 | 2027 | 2028届,2026-01-20,社会组织,,,政府/机构/组织,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=35108,,投递邮箱： | qhhfoundation@163.com
中汽认证中心有限公司-认证受理岗,,认证受理岗,"本科, 硕士, 博士",/,/,/,北京,2026届,2026-01-31,央国企,,,检测/认证,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35320,,投递邮箱: | zhaopin@cccap.org.cn
上海地铁维护保障有限公司车辆分公司,,车场值班员（理工类相关专业、轨道交通信号、交通运输类专业优先）,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,上海,2026届,2026-03-11,央国企,,2026-03-11,国企,2026/3/31,春招,,公告,,投递
双胞胎集团,,养猪产品线 饲料与服务产品线 采购物流中心 职能后台,"本科, 硕士, 博士",/,/,/,全国多地,2026 | 不限届,2026-01-03,民企,,,农林牧渔,尽快投递,春招专场 | 社招,,https://www.offerleida.com/detail?id=34522,,https://mp.weixin.qq.com/s/7YNgY52Z5Zl5ITBI-0q5AA?scene=1&click_id=2
动势科技,,智能体研发实习生;数据科学学校招/实习生;数据运营实习生;AI战略咨询实习生;AI Agent前端研发实习生;大模型应用开发实习生,"本科, 硕士, 博士",/,/,/,杭州,2026届,2026-02-08,民企,,2026-02-08,IT/互联网/游戏,尽快投递,实习 | 春招专场,,https://www.offerleida.com/detail?id=35505,,https://jm196x6sv7.jobs.feishu.cn/029403
网易,,人工智能、经营/数据分析、产的、市场渠道、GPT]、教研、策略、市场营销、主讲、投放、运营、AI(公告内扫码显示的是社招，实际明确注明21届-25届12份前毕业的均可投递),"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,杭州,2024届 | 2025届 | 2026届,2026-02-24,民企,,2026-02-24,互联网,招满为止,春招,,公告,,投递
良品铺子,,"产品经营管培生,门店经营管培生（专业不限、食品科学、电子商务、市场营销、工商管理、连锁经营）","本科, 硕士, 博士",没有笔试,/,/,武汉 | 重庆 | 深圳 | 广州 | 全国,2025届 | 2026届,2026-03-12,民企,,2026-03-12,消费,招满为止,春招,,公告,,投递
翊飞航空科技,,气动工程师总体工程师飞控工程师 软件工程师 通信工程师 电气工程师 动力工程师 结构工程师适航工程师,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-03-19,民企,,2026-03-19,智能硬件/机器人,招满为止,春招,,https://mp.weixin.qq.com/s/Kc0NFfGnmhJOgs9SGLBJLA?scene=1&click_id=53,,https://mp.weixin.qq.com/s/Kc0NFfGnmhJOgs9SGLBJLA?scene=1&click_id=53
中国水权交易所,,长江流域事业部交易岗，黄河流域事业部交易岗，研究岗，系统开发岗（水利水电工程，水文与水资源工程，农业水利工程，资源环境科学，工商管理，市场营销，人力资源管理，审计学，劳动关系，地理学，水文学及水资源，......,"本科, 硕士, 博士",/,/,/,北京 | 郑州 | 武汉,2025届 | 2026届 | 2024届,2026-02-14,事业单位,,2026-02-14,事业单位,2026/3/3,春招,,公告,,投递
江西江铃进出口有限责任公司,,海外销售工程师，汽车服务工程师（车辆类，机械类，小语种类，国贸类）,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,南昌,2026届,2026-03-05,央国企,,2026-03-05,新能源,招满为止,春招,,公告,,投递
北方华创,,技术研发类岗(材料工程师 工艺工程师机械工程师射频工程师系统工程师失效分析工程师) 技术销售类岗(销售工未文持类文设业务,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京上海武汉,2026届,2026-03-07,央国企,,2026-03-07,电子/半导体,招满为止,春招,,公告,,投递
矿冶集团,,"电气设计岗,自控设计岗,结构设计岗,选矿设计岗,尾矿科研岗,概预算岗,有色冶金设计岗,暖通设计岗,地质设计岗,总图设计岗,采矿设计岗（电气工程、电气工程及其自动化、工业电气自动化、自动化、自动化仪表、......","本科, 硕士, 博士",有笔试,/,/,北京,2026届,2026-03-09,央国企,,2026-03-09,国企 | 其他,招满为止,春招,,公告,,投递
中国工业经济联合会,,中国工业经济联合会工业经济研究部全职工作人员,"硕士, 博士",有笔试,"经济学,金融学,统计学,应用统计,经济统计学,统计学（经济学+统计学双学士项目）,应用统计学,理科试验班,工商管理,应用经济学,会计学,教育经济与管理,经济学（励耘）,国际经济与贸易（瀚德２班）,国际经济与贸易,会计,理论经济学,人口、资源与环境经济学,世界经济,国际商务,政治经济学,企业管理,金融科技,工商管理（国际商务管理实验班）,金融,经济学（实验班）,西方经济学,工商管理（数字企业管理实验班）,金融学（FinTech）,劳动经济学,工商管理学,国际经济与贸易（瀚德１班）,国际贸易学,金融学（Fintech）等相关专业",应聘材料须真实,北京,2026届,2026-01-31,社会组织,,,政府/机构/组织,2026-03-13,春招专场,,https://www.offerleida.com/detail?id=35334,,"投递邮箱: | cfiehr@163.com | , | 365559704@qq.com"
深圳新东方,,教师岗;教学管培生,"本科, 硕士, 博士",/,/,/,深圳,2026届,2026-02-23,民企,,2026-02-22,教育/培训,招满为止,春招,,公告,,投递
广西现代物流集团,,专业技术类市场营销类财务类行政支持类运营类企管类 信息化研发类安全类 法务类 管理类 客户服务类人力资源类生产类党建宣传类纪检类;,"本科, 硕士, 博士",/,/,/,广西南宁,2026届,2026-02-22,民企,,2026-02-20,交通运输/物流仓储,2026/3/7,春招,,公告,,投递
同时数字科技,,新媒体运营助理 多媒体设计助理 数字媒体项目助理（广告、新闻、新媒体、中文、传媒等相关专业优先 专业不限，传媒 / 广告 / 数媒类优先 数媒、影视、动画、编导等相关优先）,"本科, 硕士, 博士",-,/,/,成都,2026届,2026-02-27,民企,,2026-02-27,互联网,招满为止,春招,,公告,,投递
中联重科,,机械类电气类液压类智能控制类氢能源类材料类(电解槽/制氢/固态储氢/燃料电池等方向) 储备海外商务经理储备海外产品经理 全球业务运营专员全球服务运营专员派驻财务涉外法务海外审计,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,长沙其他,2026届,2026-03-05,央国企,,2026-03-05,建筑地产/市政工程,招满为止,春招,,公告,,投递
安徽环新集团,,技术研发类(机械类材料类)质量技术类市场营销类采购管理类生产管理类财务管理类事业企划类安全环境类IT类(程序开发)人力资源与行政管理类企业文化宣传类,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,安徽合肥安庆 西安大连廊坊,2026届,2026-03-05,中外合资,,2026-03-05,车企/汽车零部件,招满为止,春招,,公告,,投递
中建八局一公司,,科技研发类(博士) 施工管理类 基础设施类 商务管理类 安装装饰类 材料工程类 安全测量类 建筑设计类 城市运营类 数字科技类 绿色低碳类 清洁能源类 职能管理类,"本科, 硕士, 博士",有笔试,/,/,全国 | 海外,2026届 | 2025届,2026-03-04,央国企,,2026-03-04,国企,招满为止,春招,,公告,,投递
东莞联通,,"软件开发工程师,客户感知优化,网络维护与优化,云资源维护,智网工程师,5G应用解决方案工程师,政企营销专家,行业项目经理,人工智能产品经理,智算支撑经理","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,东莞,2026届,2026-03-08,央国企,,2026-03-08,国企,招满为止,春招,,公告,,投递
成都市经济发展研究院（成都市经济信息中心）,,大模型应用开发实习生,"硕士, 博士",/,计算机科学、人工智能、自然语言处理、数据科学等相关专业,/,成都,2026届,2026-01-09,事业单位,,,政府/机构/组织,2026-01-31,实习,,https://www.offerleida.com/detail?id=34798,,投递邮箱: | hr@cdeic.net
大族数控,,机械工程师 软件工程师 光学工程师 电气工程师 电子工程师算法工程师 运动控制工程师供应链类营销类,"本科, 硕士, 博士",/,/,/,深圳,2026届,2026-02-14,民企,,2026-02-14,机械装备/电气系统,招满为止,春招,,公告,,投递
道旅科技,,"管理培训生,AI Agent,后端,Java开发,海外渠道,海外智能,中国直签,售后收益,数据运营,技术运营,市场营销助理,区域销售经理 - 华南,财务分析,税务专员,HR AI数据化专员","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 上海 | 杭州 | 深圳,2025届 | 2026届,2026-03-11,民企,,2026-03-11,科技,招满为止,春招,,公告,,投递
晶易医药,,研发方向/临床方向/职能方向 项目经理(药理/药化/药分/药剂)医学经理(临床药理/临床医学)统计经理 制剂研究员、分析研究员合成研究员 CRA、医学专员(临床药理/药动/医学)统计专员、数据管理专员......,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 上海 | 南京 | 郑州 | 长沙 | 岳阳 | 广州 | 全国,2026届,2026-03-11,民企,,2026-03-11,生物医药,招满为止,春招,,公告,,投递
艾达乐博,,"游戏原画设计师,游戏UI设计师,游戏动效设计师,产品UI设计师,海外游戏广告创意,Python开发工程师,游戏策划师,商业广告平台产品经理,数据分析","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 成都,2026届,2026-03-11,民企,,2026-03-11,游戏,招满为止,春招,,公告,,投递
中国中元,,"建筑设计,结构设计,电气设计岗,市政工程岗,工艺设计岗,应用数学岗,工程造价岗,工程管理岗,总图设计岗,财务岗（建筑学、结构工程、土木工程、自动化控制、建筑电气、电气工程与自动化、电子信息、市政工程、......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京,2026届,2026-03-12,央国企,,2026-03-12,国企,招满为止,春招,,公告,,投递
悦来悦喜,,管培生(综合管理方向 商品与企划方向财务管理方向拓展开发方向运营管理方向),"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,郑州洛阳新乡开封濮阳安阳等,2026届,2026-03-14,民企,,2026-03-14,酒店/餐饮,招满为止,春招,,公告,,投递
欧莱雅百库,,电商培训生项目,"本科, 硕士, 博士",有笔试,/,/,广州,2025届 | 2026届,2026-03-16,外企,,2026-03-16,电商/跨境电商,2026/4/3,春招,,https://mp.weixin.qq.com/s/hVMQ8MBDRbQnIl0whK4Sdg,,https://bkhr.hotjob.cn/?sessionid=
永信嘉业-建设咨询,,工程造价（2026年应届毕业生，建筑类等专业本科及以上学历）;行政人事（2026年应届毕业生，建筑类、财务类、文科类等专业本科及以上学历）;营销专员（2026年应届毕业生，本科及以上学历）;财务助理（2026年应届毕业生，财务类等专业本科及以上学历）,"本科, 硕士, 博士",/,审计学、金融学、财务管理、会计学、物流管理、市场营销、人力资源管理、工程审计、建筑学、工程造价、工程管理、会计学CPA中国注册会计师方向、会计学ACCA方向等,/,成都,2026届,2026-01-03,民企,,,房地产业/建筑业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34556,,投递邮箱： | 3010362352@qq.com
秦淮非遗馆,,新媒体运营,"本科, 硕士, 博士",/,新闻、中文、文博相关专业优先,/,南京,2026 | 2027 | 2028届,2026-01-29,民企,,,生活服务业,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=35299,,投递邮箱： | 2415571056@qq.com
厨芯科技,,见习售后工程师,"大专, 本科, 硕士, 博士",/,机械、自动化、机电一体化等专业,流程推进通常为3-5个工作日；请密切关注邮件、电话、短信，避免错过流程推进通知！,晋城 | 全国多地,2026届,2026-02-05,民企,,,耐用消费品,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35477,,https://app.mokahr.com/campus-recruitment/honganrobots/150155?sessionid=#/job/651e874f-3e4f-4bcd-9ee4-0469994527b5
中国农业发展集团有限公司,,下属各单位岗位，具体见投递方式链接,"本科, 硕士, 博士",/,/,应聘者需对个人信息的完整性、真实性和一致性负责。如与事实不符，公司有权取消其应聘资格。应聘者所提交的信息将被严格保密，仅用于招聘，所有材料恕不退还。请应聘者提供准确的联系方式，及时查收短信和邮件，同时保持电话畅通。,三亚 | 上海 | 北京 | 南京 | 南阳 | 天津 | 广州 | 张掖 | 成都 | 济宁 | 淄博 | 濮阳 | 烟台 | 牡丹江 | 聊城 | 舟山 | 郑州 | 银川 | 青岛,2026届,2026-02-06,央国企,,,农林牧渔,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35497,,https://www.iguopin.com/company?id=10685317476212826
海亮教育科技服务集团,,未来领袖 教育管理精英(未来校长) 竞赛教练(数学、物理) 学前管理精英(未来园长) 未来校长班(27届) 融合教师(特殊教育) 算法工程师 朋辈导师 商务管培生 运营管培生(后勤) 在线教师 校区教......,"本科, 硕士, 博士",/,/,/,杭州 | 绍兴,2026届 | 2027届,2026-02-09,民企,,2026-02-09,民企,招满为止,春招专场,,https://mp.weixin.qq.com/s/51b_uPf3LM-Alxxx_WaxRQ,,https://hailiang8.zhiye.com/campus
惟远能源,,研发类技术类运营类职能类 营销类海外类,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,湘潭海外,2026届,2026-02-26,民企,,2026-02-26,能源/电力,招满为止,春招,,公告,,投递
华友钴业,,化学化工类材料类冶金类机械类电气类财经类矿业类土木工程类安环类计算机类供应链管理类市场营销类人力资源类行政管理类外语类,"本科, 硕士, 博士",华友钴业2026校招流程含人才评测 | 未明确是否为笔试,/,/,浙江桐乡浙江衢州广西玉林 四川成都天津印度尼西亚津巴布韦刚果(金匈牙利,2025届 | 2026届,2026-03-04,民企,,2026-03-04,矿产/钢铁,招满为止,春招,,公告,,投递
字节跳动,,研发 产品 运营 设计职能/支持 销售 市场 游戏策划,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,全国,2027届,2026-03-05,民企,,2026-03-05,互联网/人工智能,招满为止,实习,,https://mp.weixin.qq.com/s/kb-WxhFiYcRTcfYllP-1mQ,,公告
民航医学中心（民航总医院）,,医师序列 技师序列 科研岗位 护理岗位 其他专业技术岗位；,"本科, 硕士, 博士",有笔试,/,实行诚信承诺制度，保持通信畅通，按规定时限配合工作,北京,2026届,2026-01-27,事业单位,,,医疗/医药/生物,2026-02-10,春招专场,,https://www.offerleida.com/detail?id=35265,,https://jinshuju.com/f/ytW9El
北京易动宇航,,"系统工程师,产品工程师,硬件工程师,电源工程师,电气工程师,结构设计师,机电设计师,元器件工程师,工艺工程师,研发助理,测试工程师,装配工程师,质量工程师,财务人员,人力资源,行政人员（空天智能电推进......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 上海,2026届,2026-03-03,民企,,2026-03-03,科技 | 其他,招满为止,春招,,公告,,投递
航空工业自控所,,人工智能应用GC系统研制 无人系统研制计算机及电子系统研制光学陀螺及先进传感器研制液压系统研制机电产品研制 软件设计与测试机械加工艺企业管理机械结构设计,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,西安,2026届,2026-03-05,央国企,,2026-03-05,高端装备与国防科技航空航天/船舶,招满为止,春招,,公告,,投递
齐鲁银行,,综合柜员、客户经理（相关专业：金融等经济类、会计等管理类、数学统计类、理工科类）,"本科, 硕士, 博士",有笔试,/,/,天津 | 济南 | 青岛 | 淄博 | 枣庄 | 东营 | 烟台 | 潍坊 | 泰安 | 威海 | 日照 | 临沂 | 德州 | 聊城 | 滨州 | 菏泽,2026届,2026-03-10,银行,,2026-03-10,银行/金融,2026/3/30,春招,,公告,,投递
晨光文具,,设计类(工业设计平面设计)营销类(国内销售海外销售)职能类(人力管培生),"本科, 硕士, 博士",有笔试,/,/,上海,2026届,2026-03-16,民企,,2026-03-16,文具/办公,招满为止,春招,,https://mp.weixin.qq.com/s/Pq1QxBrfglg2J147YoXGXQ?scene=1&click_id=71,,https://app.mokahr.com/campus-recruitment/mg/142713?locale=zh-CN#/jobs
中电信息,,科技类市场类技能类职能类;,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,深圳 | 南京 | 杭州 | 武汉 | 上海 | 长沙 | 南昌 | 沈阳 | 郑州 | 北京 | 乌鲁木齐 | 东莞,2026届,2026-03-21,央国企,,2026-03-21,电子/半导体,招满为止,春招,,https://mp.weixin.qq.com/s/bTlVeeJlUC2azyUvLmJC-w,,https://campus.cec.com.cn/position?positionType=0
应急管理部所属单位,,档案管理 风险数据处理岗 灾害损失评估业务岗 卫星数据处理岗 数据处理分析岗 国际合作与交流岗 财务管理岗 视频编导 无人机应急智能装备研究岗 运维开发工程师（SRE工程师） 网络......,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2024届 | 2025届 | 2026届,2026-03-22,事业单位,,2026-03-22,事业单位,2026/4/3,春招,,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202603/t20260320_568814.html,,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202603/t20260320_568814.html
虹软科技,,计算机视觉算法工程师 AIGC算法工程师图像处理算法工程师 3D感知算法工程师 智能驾驶感知算法工程师 4D车载数据工程师c/c++开发工程师 算法优化工程师智能驾驶产品经理计算摄影产品经理,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,杭州 | 上海 | 南京,2027届,2026-03-22,民企,,2026-03-22,互联网/人工智能,招满为止,实习,,https://mp.weixin.qq.com/s/uJrQPBcHYtSzzCR1QWxPGA,,https://www.arcsoft.com.cn/job/CadetIntroduce.html
中外建筑,,新媒体岗（1-2人）；编辑岗（1人）,"本科, 硕士, 博士",/,新媒体岗：新媒体/新闻传播/汉语言文学/视觉传达等相关专业；编辑岗：建筑学/城乡规划/风景园林相关专业,经筛选编辑部会及时与符合要求者联系相关事宜,长沙,2026 | 2027 | 2028届,2026-01-22,事业单位,,,房地产业/建筑业,2026-01-31,实习 | 寒假实习,,https://www.offerleida.com/detail?id=35167,,投递邮箱： | c-oa@vip.sina.com
ESR亿色,,"营销服管培生,产品管培生（工业设计、市场营销、国际贸易、工商管理、统计学、经济学、外语类）","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,深圳,2026届,2026-03-03,民企,,2026-03-03,消费 | 科技,招满为止,春招,,公告,,投递
百度,,"机器学习,大模型算法,模型训练,C++/PHP/GO,Web前端,JAVA研发,产品经理,产品运营,设计,用户研究,项目管理,AI大模型产品经理,人力资源,战略分析,品牌市场,公共事务,财务,法务,政......","本科, 硕士, 博士",提前批免笔试 | 常规批有笔试,/,/,北京 | 大连 | 上海 | 苏州 | 杭州 | 厦门 | 武汉 | 广州 | 深圳 | 珠海 | 东莞 | 重庆 | 成都 | 香港,2027届,2026-03-09,民企,,2026-03-09,互联网,2026/6/1,实习,,公告,,投递
中核（上海）供应链管理有限公司,,"客服管理岗,运维管理岗,项目管理岗,业务标准岗,招标采购岗,采购寻源岗,采购管理岗（经济类、管理类、计算机类、软件工程类、材料科学与工程类、化学工程类、电气工程类、机械工程类、土木工程类、物流管理与工......","本科, 硕士, 博士",有笔试,/,/,北京 | 上海,2026届,2026-03-10,央国企,,2026-03-10,国企,招满为止,春招,,公告,,投递
微观博易,,量化策略研究员 量化交易员 C＋＋研发工程师,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 上海,2026届 | 2027届,2026-03-11,民企,,2026-03-11,银行/金融,招满为止,春招 | 实习,,公告,,投递
郑煤机集团,,智能制造类、产品研发类、软件研发类、硬件研发类,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,郑州,2026届,2026-03-12,央国企,,2026-03-12,其他,招满为止,春招,,公告,,投递
九联科技,,软件开发岗硬件设计岗市场营销与平台运营测试和技术支持岗产品项目岗制造技术岗;,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,惠州 成都,2025届 | 2026届,2026-03-13,民企,,2026-03-13,互联网/人工智能,招满为止,春招,,公告,,投递
镔鑫钢铁,,"冶金材料类：冶金工程,矿物加工,冶金,冶金工程及管理,材料学与工程,冶金管理类,金属压力加工,铁前工艺与原辅燃料方向,企业管理 机械类：机械类专业,机械设计,机械一体化,冶金类,管理类,电气专业,测控......","本科, 硕士, 博士",含免笔试,/,/,连云港,2026届,2026-03-16,民企,,2026-03-16,其他,招满为止,春招,,https://mp.weixin.qq.com/s/wabNqfnEXT5YZjGSoPabsg,,https://mp.weixin.qq.com/s/wabNqfnEXT5YZjGSoPabsg
天健咨询,,战略咨询（金融方向、非金融方向）;交易咨询;数字化咨询（金融方向、非金融方向）;管理咨询,"本科, 硕士, 博士",/,/,/,上海 | 北京 | 广州 | 杭州 | 深圳 | 重庆,2026届,2026-02-03,民企,,,财务/审计/税务,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35455,,https://mp.weixin.qq.com/s/tVPHKyCotZ2MhngPFQOovA
科锐国际,,人力资源顾问培训生(专业不限)人力资源顾问培训生(理工类专业) 锦州专项培养计划(人力资源顾问培训生外包员工薪酬管理外包员工管理) 集团信急化方向(AI方案交付工程师 产品经理,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京上海苏州西安锦州广州深圳杭州南京 成都天津武汉等,2026届,2026-02-27,民企,,2026-02-27,商务服务/咨询,2026/5/31,春招,,公告,,投递
中国中原,,"设备采购管理岗,机械工程管理岗,管道工程管理岗,电气工程管理岗,仪控工程管理岗,核岛土建管理岗（机械、核工程与核技术、辐射监测与防护、仪表控制、机电、工程管理、土木工程、建筑、机电仪）","本科, 硕士, 博士",有笔试,/,/,北京 | 海外,2026届,2026-03-05,央国企,,2026-03-05,国企,招满为止,春招,,公告,,投递
高标科技,,电机岗结构岗软件/测试岗客户代表制造技术岗采购岗财务岗人力资源岗,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,东莞天津重庆无锡台州徐州德国慕尼黑印尼三宝垄,2026届,2026-03-10,民企,,2026-03-10,机械装备/电气系统,招满为止,春招,,公告,,投递
